,Date,User,Tweet,Like,Location,Reply,Retweeet,Classification
28,2022-10-21 18:46:20+00:00,Ligne4_RATP,✅ Le trafic est rétabli sur la #Ligne4 #RATP.,1,,0,0,positif
29,2022-10-21 18:20:51+00:00,Next_Alert,✅ Retour à un trafic régulier sur l'ensemble de la ligne. #Ligne13 #RATP RT @Ligne13_RATP,0,"Paris, France",0,0,positif
30,2022-10-21 18:20:00+00:00,28minutes,"Jean #Castex vient d'être nommé PDG de la #RATP. Une annonce qui fait réagir autant les internautes que les actuels membres du gouvernement. @SoniaChiro nous en parle ! 

🚇https://t.co/gAhKO38K0J #28min https://t.co/lM9kEtxtD7",3,,2,2,neutre
31,2022-10-21 18:19:55+00:00,Ligne13_RATP,✅ Retour à un trafic régulier sur l'ensemble de la ligne. #Ligne13 #RATP,0,,0,0,positif
32,2022-10-21 18:19:42+00:00,Next_Alert,⚠️ Le trafic est perturbé sur l'ensemble de la ligne en raison d'un bagage oublié. #Ligne4 #RATP RT @Ligne4_RATP,0,"Paris, France",0,0,positif
33,2022-10-21 18:19:05+00:00,Ligne4_RATP,⚠️ Le trafic est perturbé sur l'ensemble de la ligne en raison d'un bagage oublié. #Ligne4 #RATP,1,,2,0,negatif
34,2022-10-21 18:10:31+00:00,Next_Alert,⚠️ Une rame stationne à Mairie de Clichy en raison d'un bagage oublié. #Ligne13 #RATP RT @Ligne13_RATP,0,"Paris, France",0,0,negatif
35,2022-10-21 18:09:18+00:00,Ligne13_RATP,⚠️ Une rame stationne à Mairie de Clichy en raison d'un bagage oublié. #Ligne13 #RATP,1,,1,0,negatif
36,2022-10-21 18:08:50+00:00,Lolobaroudeuse,@F_Desouche mdr sérieux c n importe quoi !!! #RATP rentre avec tes pieds … avec un clown pareil ca va etre la débandade a paris achetez de bonne godasses ou vélo,0,partout,0,0,positif
37,2022-10-21 18:01:57+00:00,jeanzoubar,"Ou comment s'amuser en prenant le #métro quotidiennement : renommer les stations de sa ligne et inventer leur histoire #RATP
https://t.co/7WGIodJWhG",0,paris,0,0,negatif
38,2022-10-21 18:00:09+00:00,OfficialHalcyon,"Kuku, candidat de The Voice France en 2017, dans le métro République à Paris le 20 octobre 2022. 🥳👏 Cc @TheVoice_TF1 @itvstudiosfr @TF1 @MPokora @RATPgroup - #TheVoice #MusicienDuMétro #RATP #Kuku #Paris #Musique #GareLive ! https://t.co/Lg9ySKyqT0",2,France,1,1,neutre
39,2022-10-21 17:44:11+00:00,Next_Alert,⚠️ Le trafic reprend progressivement sur l'ensemble de la ligne (fin d'incident : bagage oublié à Montparnasse). #Ligne4 #RATP RT @Ligne4_RATP,0,"Paris, France",0,0,positif
40,2022-10-21 17:44:01+00:00,Ligne4_RATP,⚠️ Le trafic reprend progressivement sur l'ensemble de la ligne (fin d'incident : bagage oublié à Montparnasse). #Ligne4 #RATP,2,,1,0,positif
41,2022-10-21 17:37:00+00:00,jeanzoubar,Du schnock (station rebaptisée de la ligne 13) https://t.co/BJGnjuLpWv #RATP #SNCF,0,paris,0,0,neutre
42,2022-10-21 17:35:00+00:00,28minutes,"#Crise énergétique, #grèves, Jean Castex à la #RATP… On débat de l’actu avec @NPolony, @AntoineBueno, Pascal Blanchard ainsi que la dessinatrice @Louison_A. Sans oublier notre invité Jef Aérosol ! 
 
 À ce soir, 20h05, sur @ARTEfr !

🔗 https://t.co/gAhKO38K0J #28min https://t.co/SURFzpWW4L",7,,1,3,negatif
43,2022-10-21 17:22:44+00:00,AEmrvava,"J1/6 en avant #vendredi🤟🏼
Je vous retrouve ce soir, bonne humeur toujours de mise🙃, au Comptoir Club de la station Château d’Eau🔹 #RATP #ligne4 jusqu’à 02h20🌙
Retrouvez-moi pour toutes vos problématiques Navigo✨ et obtenir une réponse à toutes vos questions❓
Belle soirée🌝 https://t.co/ry0RcmAHzy",16,RATP ligne 4,0,0,negatif
44,2022-10-21 17:19:28+00:00,rouedesecours2,la #RATP religion de l'amour de la tolérance et  de la paix a l'immense bonheur d'accueillir qui vous savez ...,0,,0,0,positif
45,2022-10-21 17:18:54+00:00,Next_Alert,❌ Le trafic est interrompu entre Vavin et Odéon en raison d'un bagage oublié à Montparnasse. Reprise estimée du trafic vers 20h30. #Ligne4 #RATP RT @Ligne4_RATP,1,"Paris, France",0,0,negatif
46,2022-10-21 17:18:24+00:00,Ligne4_RATP,❌ Le trafic est interrompu entre Vavin et Odéon en raison d'un bagage oublié à Montparnasse. Reprise estimée du trafic vers 20h30. #Ligne4 #RATP,4,,1,0,negatif
47,2022-10-21 17:15:05+00:00,MyTransitParis,Fin des rames tractées en Ile de France #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/pl1W7ERMQb,0,"Paris, France",0,1,positif
48,2022-10-21 17:09:43+00:00,Next_Alert,✅ Le trafic est rétabli sur la #Ligne4 #RATP. RT @Ligne4_RATP,0,"Paris, France",0,0,positif
49,2022-10-21 17:09:08+00:00,Ligne4_RATP,✅ Le trafic est rétabli sur la #Ligne4 #RATP.,2,,1,0,positif
50,2022-10-21 16:54:43+00:00,Next_Alert,⚠️ Le trafic est perturbé sur l'ensemble de la #ligne7 #RATP en raison d'un incident technique. RT @Ligne7_RATP,1,"Paris, France",0,0,negatif
51,2022-10-21 16:54:08+00:00,Ligne7_RATP,⚠️ Le trafic est perturbé sur l'ensemble de la #ligne7 #RATP en raison d'un incident technique.,3,,8,0,negatif
52,2022-10-21 16:51:00+00:00,Patrick45030337,Je ne touche même pas 29 200€ par an 😱 #Castex #RATP https://t.co/ZbChUkl1yl,0,"Ile-de-France, France",0,0,negatif
53,2022-10-21 16:39:08+00:00,NonoC63,Au moins c’est pas comme @Elisabeth_Borne … @JeanCASTEX prend les transports en commun! 🤭#Macronistan #RATP https://t.co/uqRMXB3EEs,0,"Paris, France",0,0,negatif
54,2022-10-21 16:32:48+00:00,Next_Alert,⚠️ Le trafic est perturbé sur l'ensemble de la ligne en raison d'un incident technique. #Ligne4 #RATP RT @Ligne4_RATP,0,"Paris, France",0,0,negatif
55,2022-10-21 16:32:15+00:00,Ligne4_RATP,⚠️ Le trafic est perturbé sur l'ensemble de la ligne en raison d'un incident technique. #Ligne4 #RATP,6,,3,0,negatif
56,2022-10-21 16:31:38+00:00,Next_Alert,"⚠️ En répercussion de personnes sur les voies à Nation, le trafic reste perturbé sur l'ensemble de la ligne . #Ligne6 #RATP RT @Ligne6_RATP",0,"Paris, France",0,0,positif
57,2022-10-21 16:31:03+00:00,Ligne6_RATP,"⚠️ En répercussion de personnes sur les voies à Nation, le trafic reste perturbé sur l'ensemble de la ligne . #Ligne6 #RATP",0,,1,0,positif
58,2022-10-21 16:23:29+00:00,Next_Alert,"✅ Fin d'incident, le métro est reparti Châtillon #Ligne13 #RATP RT @Ligne13_RATP",0,"Paris, France",0,0,positif
59,2022-10-21 16:22:17+00:00,Next_Alert,✅ Le trafic est rétabli sur la #Ligne5 #RATP. RT @Ligne5_RATP,0,"Paris, France",0,0,negatif
60,2022-10-21 16:22:16+00:00,Ligne13_RATP,"✅ Fin d'incident, le métro est reparti Châtillon #Ligne13 #RATP",1,,0,0,positif
61,2022-10-21 16:21:09+00:00,Ligne5_RATP,✅ Le trafic est rétabli sur la #Ligne5 #RATP.,0,,0,0,negatif
62,2022-10-21 16:19:37+00:00,NathGSam,Oops #RERA 😱 heureusement que je viens d'arriver à #Nanterre #Transports #RATP #SNCF #Régionparisienne #IDFMOBILITES https://t.co/9mENYZHKvm,0,Ile de France ,0,0,neutre
63,2022-10-21 16:15:57+00:00,MyTransitParis,RER D : travaux de la semaine #43 #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/yKryYrlsA4,0,"Paris, France",0,0,neutre
64,2022-10-21 16:11:53+00:00,Next_Alert,⚠️ Le trafic reprend mais reste perturbé sur l'ensemble de la ligne en raison de personnes sur les voies à Nation. #Ligne6 #RATP RT @Ligne6_RATP,0,"Paris, France",0,0,positif
65,2022-10-21 16:11:00+00:00,Ligne6_RATP,⚠️ Le trafic reprend mais reste perturbé sur l'ensemble de la ligne en raison de personnes sur les voies à Nation. #Ligne6 #RATP,5,,2,1,positif
66,2022-10-21 16:09:33+00:00,Next_Alert,✅ Le trafic est rétabli sur la #Ligne9 #RATP. RT @Ligne9_RATP,0,"Paris, France",0,0,positif
67,2022-10-21 16:08:42+00:00,Ligne9_RATP,✅ Le trafic est rétabli sur la #Ligne9 #RATP.,2,,0,0,positif
68,2022-10-21 16:07:15+00:00,Next_Alert,"⚠️ En raison de divers incidents, le trafic est perturbé sur l'ensemble de la #ligne5 #RATP RT @Ligne5_RATP",1,"Paris, France",0,0,negatif
69,2022-10-21 16:06:03+00:00,Ligne5_RATP,"⚠️ En raison de divers incidents, le trafic est perturbé sur l'ensemble de la #ligne5 #RATP",1,,1,0,negatif
70,2022-10-21 16:02:01+00:00,NathGSam,#Merci au #conducteur pour les #informations et la #patience #RER #RERA #direction #StGermainenLaye #Transports #Paris #Ratp #SNCF #Régionparisienne #IDFMOBILITES https://t.co/7eoF8rGwnK,0,Ile de France ,0,0,neutre
71,2022-10-21 16:01:29+00:00,Next_Alert,⚠️ Une rame stationne à Châtillon en direction de St Denis Université en raison d'un incident technique #Ligne13 #RATP RT @Ligne13_RATP,1,"Paris, France",0,0,negatif
72,2022-10-21 16:01:04+00:00,Ligne13_RATP,⚠️ Une rame stationne à Châtillon en direction de St Denis Université en raison d'un incident technique #Ligne13 #RATP,2,,1,0,negatif
73,2022-10-21 15:59:10+00:00,Next_Alert,"⚠️ En répercussion d'un incident technique, le trafic reprend progressivement entre les stations Vavin et Mairie de Montrouge. #Ligne4 #RATP RT @Ligne4_RATP",0,"Paris, France",0,0,positif
74,2022-10-21 15:57:59+00:00,Ligne4_RATP,"⚠️ En répercussion d'un incident technique, le trafic reprend progressivement entre les stations Vavin et Mairie de Montrouge. #Ligne4 #RATP",6,,2,0,negatif
75,2022-10-21 15:50:05+00:00,wassupnow2021,"@Elisabeth_Borne #TransitionEcologique avec le réseau pourri de la #sncf @sncf et de la #ratp @ClientsRATP?! Lignes qui ferment, train supprimés,  pas de conducteurs, de chauffeurs, svp arrêtez de ns prendre pour des cons ça serait déjà énorme, réalité parallèle! #ElisabethBorne",0,,0,0,neutre
76,2022-10-21 15:49:32+00:00,coinquette,"Bonjour @RER_A, est ce que des nocturnes sont prévues au départ de MLV vers Cergy le soir d’Halloween s’il vous plaît ?
Sinon quel est le dernier? Merciii #RERA #halloween #ratp",0,France,1,0,negatif
77,2022-10-21 15:44:14+00:00,Ligne4_RATP,"❌ En raison d'un incident technique, le trafic est interrompu entre les stations Vavin et Mairie de Montrouge. Reprise estimée du trafic vers 18:00 #Ligne4 #RATP",3,,1,1,negatif
78,2022-10-21 15:41:48+00:00,Next_Alert,"❌ En raison d'un incident technique, le trafic est interrompu entre les stations Vavin et Mairie de Montrouge dir. Bagneux – Lucie Aubrac. Reprise estimée du trafic vers 18:00 #Ligne4 #RATP RT @Ligne4_RATP",0,"Paris, France",0,0,negatif
79,2022-10-21 15:41:45+00:00,SergeLapinRATP,Pas étonnant que tout le monde parle du dernier album de Taylor Swift 🔥 Les featuring sont fous 😏 #SergeLeLapin #RATP #TSmidnighTS #Spotify https://t.co/QjpfRns8Xm,41,"Paris, France",3,16,neutre
80,2022-10-21 15:41:05+00:00,Ligne4_RATP,"❌ En raison d'un incident technique, le trafic est interrompu entre les stations Vavin et Mairie de Montrouge dir. Bagneux – Lucie Aubrac. Reprise estimée du trafic vers 18:00 #Ligne4 #RATP",1,,3,0,negatif
81,2022-10-21 15:36:00+00:00,Next_Alert,"⚠️En raison d'un incident technique, une rame stationne entre les stations Alésia et Porte d'Orléans dir. Bagneux – Lucie Aubrac,  #Ligne4 #RATP RT @Ligne4_RATP",0,"Paris, France",0,0,negatif
82,2022-10-21 15:35:17+00:00,Ligne4_RATP,"⚠️En raison d'un incident technique, une rame stationne entre les stations Alésia et Porte d'Orléans dir. Bagneux – Lucie Aubrac,  #Ligne4 #RATP",4,,7,1,negatif
83,2022-10-21 15:33:42+00:00,Next_Alert,"⚠️En raison d'un incident d'exploitation, le trafic est perturbé sur l'ensemble de la ligne #Ligne9 #RATP RT @Ligne9_RATP",0,"Paris, France",0,0,negatif
84,2022-10-21 15:33:33+00:00,Ligne9_RATP,"⚠️En raison d'un incident d'exploitation, le trafic est perturbé sur l'ensemble de la ligne #Ligne9 #RATP",3,,4,0,negatif
85,2022-10-21 15:17:35+00:00,grebert,"Que la #RATP ait du mal à recruter, cela montre à quel point cette entreprise a été cassée socialement https://t.co/z4KfFx3C8n",2,Puteaux,0,0,negatif
86,2022-10-21 15:15:00+00:00,fdeligne,La prise de fonction de #JeanCastex à la tête de la #RATP https://t.co/D9tURS1wI2,3,France,0,3,positif
87,2022-10-21 14:51:58+00:00,SolidairesRatp,"La Direction à #Metro et au #RER à la #RATP est dans le déni, l' #Intersyndicale Metro/RER appelle à une journée de #Greve le 10 novembre #Greve10Novembre #SolidairesRatp compte développer la grève dans les autres métiers #Salaires #ConditionsDeTravail https://t.co/uejpuST8Cj",2,"Paris, France",0,2,negatif
88,2022-10-21 14:30:00+00:00,Ligne__Droite,"🤜""Sans l'argument de la #transmission, personne ne se serait #vacciné !""
🗣️#klausschwab maintient : il ne faut pas avoir peur ! Et Jean #Castex témoigne d'une reconversion professionnelle assez difficile #ratp
La Fausse Information ici:
👉https://t.co/MuFAQH1P5p
🎙️Avec @Valooo08 https://t.co/lgvIpmLuEc",3,France,0,5,negatif
89,2022-10-21 14:29:28+00:00,MFleicher,"Vent nouveau, espoir de modernisation l'ancien Premier ministre M. Jean Castex nommé à la direction de la #RATP .
S'il retrouve ses lunettes , il annoncera peut-être le retour des premières classes ainsi que celui des wagons en bois.
#Castex  une droite,  qui serre les fesses ! https://t.co/6HUpsAT21v",0,,0,0,negatif
90,2022-10-21 14:18:37+00:00,jylgallou,"Entre 2 grèves et 3 perturbations la #RATP se «modernise»: plus de tickets 🎫 papiers.Une carte. Mais dans certaines gares (Lyon, Châtelet) vous êtes débité plusieurs fois….Pas grave : il vous suffit de passer un quart d’heure sur le site internet pour demander le remboursement",15,Paris,1,9,negatif
91,2022-10-21 14:00:52+00:00,GregBld,"@RATPgroup @EmmanuelMacron @Elisabeth_Borne 
@JeanCASTEX 🔴 Flash Info : Une nouvelle station de métro va être créée pour le nouveau PDG de la RATP Jean #CASTEX. 😂 #Castex #RATP @Ligne13_RATP https://t.co/qrZVNrfZEE",0,planète Mars ,0,0,neutre
92,2022-10-21 13:51:01+00:00,Next_Alert,✅ Le trafic est rétabli sur l'ensemble de la #Ligne10 #RATP RT @Ligne10_RATP,0,"Paris, France",0,0,positif
93,2022-10-21 13:49:49+00:00,Ligne10_RATP,✅ Le trafic est rétabli sur l'ensemble de la #Ligne10 #RATP,0,,0,0,positif
94,2022-10-21 13:34:50+00:00,The_Charleyne,"Tellement y’a des problèmes sur cette ligne le CM de @Ligne7_RATP a arrêté de tweeter sur le trafic 🤦‍♀️ 
#Ligne7 #RATP",0,,0,0,positif
95,2022-10-21 13:23:23+00:00,raufrere,"Le ""chien robot RATP"" primé côté innovation Grand Prix  Région Capitale VRT @RATPgroup @VRTmag @Mobilitesmag @Mobilettre @UNSAFerro_Off @UNSATRANSPORTS1 @FedUnsa @Asso_usagersidf #arafer @UTP_Fr @GroupeSNCF @SNCFReseau @IDFmobilites @iledefrance #mobilités #fif #innovation #ratp https://t.co/byGoXai9kD",1,"Paris, France",0,0,neutre
96,2022-10-21 13:14:54+00:00,MyTransitParis,🛠 Le récap travaux de vos lignes N &amp; U – Décembre 2022 #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/NrUCR8dFsQ,0,"Paris, France",0,0,neutre
97,2022-10-21 12:57:15+00:00,Next_Alert,⚠️L'incident est terminé et le trafic reste perturbé sur l'ensemble #Ligne10 #RATP RT @Ligne10_RATP,0,"Paris, France",0,0,positif
98,2022-10-21 12:56:53+00:00,Ligne10_RATP,⚠️L'incident est terminé et le trafic reste perturbé sur l'ensemble #Ligne10 #RATP,0,,1,0,positif
99,2022-10-21 12:49:25+00:00,RATPrecrute,"[Rejoignez-nous] La #RATP recrute des conducteurs et conductrices de #bus pour le Centre bus de Créteil Saint-Maur (94) ! 🚌 #emploi #recrutement
Rendez-vous ici pour postuler 👉 https://t.co/VwAj3BKc2f https://t.co/jZFrTeeFJ7",1,,0,0,positif
100,2022-10-21 12:20:38+00:00,Next_Alert,✅ Retour à un trafic régulier sur l'ensemble de la ligne. #T3a #RATP RT @T3a_RATP,0,"Paris, France",0,0,positif
101,2022-10-21 12:20:15+00:00,T3a_RATP,✅ Retour à un trafic régulier sur l'ensemble de la ligne. #T3a #RATP,0,,0,0,positif
102,2022-10-21 12:16:05+00:00,Next_Alert,"⚠️Suite à un malaise voyageur à la station Jean Moulin, la ligne a stationné de 13h53 à 14h10. La victime a été pris en charge, le trafic reprend progressivement sur l'ensemble de la ligne. #T3a #RATP RT @T3a_RATP",0,"Paris, France",0,0,positif
103,2022-10-21 12:15:43+00:00,T3a_RATP,"⚠️Suite à un malaise voyageur à la station Jean Moulin, la ligne a stationné de 13h53 à 14h10. La victime a été pris en charge, le trafic reprend progressivement sur l'ensemble de la ligne. #T3a #RATP",0,,1,0,positif
104,2022-10-21 12:13:49+00:00,macronscope,"@EmmanuelMacron propose @JeanCASTEX comme nouveau PDG de la #RATP

Ça marche vachement bien #Francetravail

https://t.co/IrZd12eeAO",0,,0,0,neutre
105,2022-10-21 12:08:12+00:00,Ligne5_RATP,"[Sport] Demain aura lieu la #SineQuaNonRun, une course de 6 ou 10km dont la #RATPpartenaire. Au départ du métro Stalingrad #ligne5, femmes et hommes courront ensemble pour lutter avec optimisme et énergie contre les violences sexistes et sexuelles faites aux femmes. 🏃‍♀️ 🏃‍♂️ #RATP https://t.co/dCWPTOy3NV",0,,0,0,negatif
106,2022-10-21 12:05:07+00:00,Ligne2_RATP,"[Culture] Dès aujourd’hui et jusqu’au 20 novembre, l'exposition ""Tintin, l'aventure immersive"" s’installe à @AtelierLumieres. Un rendez-vous immanquable, pour petits et grands ! Plus d’informations sur cet événement #RATPpartenaire 👉 https://t.co/ymmGIds0AE #RATP https://t.co/JOuTUNp33W",8,,0,3,positif
107,2022-10-21 12:04:37+00:00,Next_Alert,❌ Le trafic est interrompu entre Duroc et Gare d'Austerlitz en répercussion d'un incident voyageur à Mabillon. Reprise estimée du trafic vers 14h30. #Ligne10 #RATP RT @Ligne10_RATP,0,"Paris, France",0,0,negatif
108,2022-10-21 12:03:53+00:00,Ligne10_RATP,❌ Le trafic est interrompu entre Duroc et Gare d'Austerlitz en répercussion d'un incident voyageur à Mabillon. Reprise estimée du trafic vers 14h30. #Ligne10 #RATP,0,,2,0,negatif
109,2022-10-21 11:48:12+00:00,SergeV_Paris,"Franchement moche cette bouche de métro, les designers sont morts à #paris et à la #ratp. https://t.co/kkGQsrG3xf",0,France et Asie,0,0,negatif
110,2022-10-21 11:08:20+00:00,T6_RATP,"[Billettique] Nouvelle étape dans la modernisation des titres de transport! Depuis le 13 octobre, 180 stations arrêtent progressivement la vente de carnets de tickets t+ en carton. Découvrez les alternatives simples et pratiques ➡️ https://t.co/50qHHYPHRG
#RATP pour @IDFmobilites https://t.co/CEycjVQXZg",4,,0,1,neutre
111,2022-10-21 11:08:04+00:00,T1_RATP,"[Billettique] Nouvelle étape dans la modernisation des titres de transport! Depuis le 13 octobre, 180 stations arrêtent progressivement la vente de carnets de tickets t+ en carton. Découvrez les alternatives simples et pratiques ➡️ https://t.co/aZk1zUZUEM
#RATP pour @IDFmobilites https://t.co/kSQWKaFGLD",2,,0,1,neutre
112,2022-10-21 11:07:39+00:00,Ligne9_RATP,"[Billettique] Nouvelle étape dans la modernisation des titres de transport! Depuis le 13 octobre, 180 stations arrêtent progressivement la vente de carnets de tickets t+ en carton. Découvrez les alternatives simples et pratiques ➡️ https://t.co/N21eMoFCz9
#RATP pour @IDFmobilites https://t.co/hj7mLcNnLB",0,,0,0,neutre
113,2022-10-21 11:07:24+00:00,Ligne5_RATP,"[Billettique] Nouvelle étape dans la modernisation des titres de transport! Depuis le 13 octobre, 180 stations arrêtent progressivement la vente de carnets de tickets t+ en carton. Découvrez les alternatives simples et pratiques ➡️ https://t.co/PZq7IOZRDi
#RATP pour @IDFmobilites https://t.co/4wdRavjWKq",0,,0,0,neutre
114,2022-10-21 11:06:50+00:00,Ligne8_RATP,"[Billettique] Nouvelle étape dans la modernisation des titres de transport! Depuis le 13 octobre, 180 stations arrêtent progressivement la vente de carnets de tickets t+ en carton. Découvrez les alternatives simples et pratiques ➡️ https://t.co/AuFkIl32G0
#RATP pour @IDFmobilites https://t.co/Yu3lz7vJ16",1,,0,0,neutre
115,2022-10-21 11:06:17+00:00,T3b_RATP,"[👜 Bagage oublié] Lorsque vous montez ou descendez du tramway, pensez bien à vérifier que vous avez toutes vos affaires avec vous. #bagageoubliétraficperturbé #RATP https://t.co/FTNUH73hDh",0,,0,0,neutre
116,2022-10-21 11:06:00+00:00,T2_RATP,"[Port du masque 😷] Chers voyageurs, conservons les bonnes habitudes. Le port du #masque est fortement recommandé sur l’ensemble du réseau Île-de-France Mobilités exploité par la #RATP.
Plus d’infos 👉 https://t.co/wT7uNIOG9g https://t.co/cLpjFzeVqF",0,,0,0,positif
